wavelength (nm),absorption (m^-1),scattering (m^-1)
1216,123.391,6.23E-05
1217,123.014,6.21E-05
1218,122.638,6.19E-05
1219,122.107,6.17E-05
1220,121.64,6.15E-05
1221,121.231,6.12E-05
1222,121.036,6.10E-05
1223,120.8,6.08E-05
1224,120.565,6.06E-05
1225,120.329,6.04E-05
1226,120.026,6.02E-05
1227,119.723,6.00E-05
1228,119.574,5.98E-05
1229,119.296,5.95E-05
1230,118.961,5.93E-05
1231,118.416,5.91E-05
1232,117.979,5.89E-05
1233,117.544,5.87E-05
1234,116.957,5.85E-05
1235,116.568,5.83E-05
1236,116.236,5.81E-05
1237,116.114,5.79E-05
1238,115.817,5.77E-05
1239,115.521,5.75E-05
1240,115.377,5.73E-05
1241,115.104,5.71E-05
1242,114.776,5.69E-05
1243,114.201,5.67E-05
1244,113.783,5.65E-05
1245,113.379,5.63E-05
1246,113.043,5.61E-05
1247,112.657,5.59E-05
1248,112.271,5.57E-05
1249,111.887,5.55E-05
1250,111.397,5.53E-05
